skpID,lng,lat,place_id,formatted_address,administrative_area_level_3
1.json,-6.916817,107.634879,ChIJHxh5NcXnaC4RIvimSqz1-_k,"Jl. Sukabumi No.30, Kacapiring, Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia",Batununggal
10.json,-6.9134539,107.6090197,El9KbC4gV2FzdHVrZW5jYW5hIE5vLjIsIEJhYmFrYW4gQ2lhbWlzLCBTdW11ciBCYW5kdW5nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxMTcsIEluZG9uZXNpYQ,"Jl. Wastukencana No.2, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
100.json,-6.9290734,107.6059492,ChIJ3XcSkJ3oaC4ReCMVE2XeEu0,"Jl. Raden Dewi Sartika No.115, Pungkur, Regol, Kota Bandung, Jawa Barat 40251, Indonesia",Regol
101.json,-6.9211411,107.6260979,ChIJw4AmwNPnaC4RuBH0Drc_6L4,"Jl. Samoja No.5, Samoja, Batununggal, Kota Bandung, Jawa Barat 40262, Indonesia",Batununggal
102.json,-6.9140134,107.6141025,ChIJVdgxFTHmaC4REtvZFdbJCMs,"Jl. Sumatera No.42, Merdeka, Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",Sumur Bandung
103.json,-6.9070405,107.6185685,ChIJd6UagErmaC4RrsL7v1M25tA,"Jl. Ambon No.23, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",Bandung Wetan
104.json,-6.9134539,107.6090197,El9KbC4gV2FzdHVrZW5jYW5hIE5vLjIsIEJhYmFrYW4gQ2lhbWlzLCBTdW11ciBCYW5kdW5nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxMTcsIEluZG9uZXNpYQ,"Jl. Wastukencana No.2, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
105.json,-6.9082008,107.6304016,ChIJ_elXtcnnaC4RFKKvrEcHBaM,"Jl. Lap. Supratman No.8, Cihapit, Bandung Wetan, Kota Bandung, Jawa Barat 40114, Indonesia",Bandung Wetan
106.json,-6.8994067,107.642505,ChIJ6a5Gsr3naC4RQs9ccWP9Nbg,"Jl. PH.H. Mustofa No.53, Neglasari, Cibeunying Kaler, Kota Bandung, Jawa Barat 40124, Indonesia",Cibeunying Kaler
107.json,-6.920327299999999,107.6263611,ChIJ21VFz9PnaC4RNuzSHVV3dLo,"Jl. Centeh No.5, Samoja, Batununggal, Kota Bandung, Jawa Barat 40273, Indonesia",Batununggal
